Thu Nov 28 07:33:43 2024       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 565.57.01              Driver Version: 565.57.01      CUDA Version: 12.7     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           On  |   00000000:58:00.0 Off |                    0 |
| N/A   40C    P0             29W /  250W |       1MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
cuda
Tesla V100-PCIE-32GB
Epoch: 226	Train loss: 8.555e-04	Val loss: 1.625e-03
Epoch: 227	Train loss: 9.488e-04	Val loss: 1.553e-03
Epoch: 228	Train loss: 8.009e-04	Val loss: 1.313e-03
Epoch: 229	Train loss: 8.448e-04	Val loss: 1.993e-03
Epoch: 230	Train loss: 9.252e-04	Val loss: 1.427e-03
Epoch: 231	Train loss: 8.629e-04	Val loss: 1.039e-03
Epoch: 232	Train loss: 8.112e-04	Val loss: 1.017e-03
Epoch: 233	Train loss: 8.735e-04	Val loss: 1.092e-03
Epoch: 234	Train loss: 7.784e-04	Val loss: 1.286e-03
Epoch: 235	Train loss: 8.899e-04	Val loss: 1.177e-03
Epoch: 236	Train loss: 8.298e-04	Val loss: 1.314e-03
Epoch: 237	Train loss: 8.304e-04	Val loss: 1.376e-03
Epoch: 238	Train loss: 8.317e-04	Val loss: 1.070e-03
Epoch: 239	Train loss: 8.455e-04	Val loss: 2.461e-03
Epoch: 240	Train loss: 8.894e-04	Val loss: 1.157e-03
Epoch: 241	Train loss: 8.272e-04	Val loss: 1.140e-03
Epoch: 242	Train loss: 7.946e-04	Val loss: 1.107e-03
Epoch: 243	Train loss: 8.076e-04	Val loss: 1.204e-03
Epoch: 244	Train loss: 9.309e-04	Val loss: 1.871e-03
Epoch: 245	Train loss: 7.383e-04	Val loss: 1.334e-03
Epoch: 246	Train loss: 7.936e-04	Val loss: 1.053e-03
Epoch: 247	Train loss: 8.515e-04	Val loss: 1.368e-03
Epoch: 248	Train loss: 7.936e-04	Val loss: 1.241e-03
Epoch: 249	Train loss: 8.689e-04	Val loss: 1.185e-03
Epoch: 250	Train loss: 7.752e-04	Val loss: 1.228e-03
Epoch: 251	Train loss: 8.285e-04	Val loss: 1.926e-03
Epoch: 252	Train loss: 8.755e-04	Val loss: 1.257e-03
Epoch: 253	Train loss: 8.610e-04	Val loss: 1.086e-03
Epoch: 254	Train loss: 7.492e-04	Val loss: 1.222e-03
Epoch: 255	Train loss: 8.794e-04	Val loss: 1.219e-03
Epoch: 256	Train loss: 7.587e-04	Val loss: 1.372e-03
Epoch: 257	Train loss: 9.055e-04	Val loss: 1.084e-03
Epoch: 258	Train loss: 7.643e-04	Val loss: 9.928e-04
Epoch: 259	Train loss: 8.588e-04	Val loss: 1.006e-03
Epoch: 260	Train loss: 8.364e-04	Val loss: 1.513e-03
Epoch: 261	Train loss: 8.109e-04	Val loss: 1.052e-03
Epoch: 262	Train loss: 7.824e-04	Val loss: 2.514e-03
Epoch: 263	Train loss: 7.902e-04	Val loss: 2.556e-03
Epoch: 264	Train loss: 7.844e-04	Val loss: 1.174e-03
Epoch: 265	Train loss: 7.990e-04	Val loss: 9.643e-04
Epoch: 266	Train loss: 8.444e-04	Val loss: 1.018e-03
Epoch: 267	Train loss: 7.955e-04	Val loss: 1.422e-03
Epoch: 268	Train loss: 7.578e-04	Val loss: 1.089e-03
Epoch: 269	Train loss: 8.663e-04	Val loss: 1.700e-03
Epoch: 270	Train loss: 7.594e-04	Val loss: 1.951e-03
Epoch: 271	Train loss: 8.243e-04	Val loss: 9.890e-04
Epoch: 272	Train loss: 7.916e-04	Val loss: 1.260e-03
Epoch: 273	Train loss: 8.221e-04	Val loss: 9.243e-04
Epoch: 274	Train loss: 8.224e-04	Val loss: 2.117e-03
Epoch: 275	Train loss: 7.556e-04	Val loss: 1.519e-03
Epoch: 276	Train loss: 7.562e-04	Val loss: 1.102e-03
Epoch: 277	Train loss: 8.348e-04	Val loss: 1.396e-03
Epoch: 278	Train loss: 7.754e-04	Val loss: 8.395e-04
Epoch: 279	Train loss: 9.614e-04	Val loss: 1.641e-03
Epoch: 280	Train loss: 6.784e-04	Val loss: 1.244e-03
Epoch: 281	Train loss: 8.005e-04	Val loss: 1.505e-03
Epoch: 282	Train loss: 7.080e-04	Val loss: 1.288e-03
Epoch: 283	Train loss: 8.239e-04	Val loss: 1.362e-03
Epoch: 284	Train loss: 7.853e-04	Val loss: 1.576e-03
Epoch: 285	Train loss: 7.695e-04	Val loss: 1.677e-03
Epoch: 286	Train loss: 7.620e-04	Val loss: 2.139e-03
Epoch: 287	Train loss: 8.150e-04	Val loss: 2.964e-03
Epoch: 288	Train loss: 8.212e-04	Val loss: 1.921e-03
Epoch: 289	Train loss: 7.903e-04	Val loss: 1.724e-03
Epoch: 290	Train loss: 8.773e-04	Val loss: 1.178e-03
Epoch: 291	Train loss: 7.856e-04	Val loss: 9.646e-04
Epoch: 292	Train loss: 7.401e-04	Val loss: 1.370e-03
Epoch: 293	Train loss: 8.546e-04	Val loss: 9.150e-04
Epoch: 294	Train loss: 6.803e-04	Val loss: 1.268e-03
Epoch: 295	Train loss: 7.505e-04	Val loss: 1.325e-03
Epoch: 296	Train loss: 8.385e-04	Val loss: 1.978e-03
Epoch: 297	Train loss: 7.039e-04	Val loss: 1.188e-03
Epoch: 298	Train loss: 8.127e-04	Val loss: 1.344e-03
Epoch: 299	Train loss: 7.266e-04	Val loss: 1.593e-03
Epoch: 300	Train loss: 8.321e-04	Val loss: 1.310e-03
Epoch: 301	Train loss: 7.661e-04	Val loss: 1.056e-03
Epoch: 302	Train loss: 7.365e-04	Val loss: 1.074e-03
Epoch: 303	Train loss: 7.882e-04	Val loss: 1.010e-03
Epoch: 304	Train loss: 6.793e-04	Val loss: 1.129e-03
Epoch: 305	Train loss: 8.346e-04	Val loss: 9.760e-04
Epoch: 306	Train loss: 7.341e-04	Val loss: 1.616e-03
Epoch: 307	Train loss: 8.270e-04	Val loss: 8.938e-04
Epoch: 308	Train loss: 7.517e-04	Val loss: 1.123e-03
Epoch: 309	Train loss: 7.687e-04	Val loss: 1.198e-03
Epoch: 310	Train loss: 7.841e-04	Val loss: 1.207e-03
Epoch: 311	Train loss: 8.158e-04	Val loss: 1.130e-03
Epoch: 312	Train loss: 7.896e-04	Val loss: 1.398e-03
Epoch: 313	Train loss: 7.515e-04	Val loss: 1.036e-03
Epoch: 314	Train loss: 6.905e-04	Val loss: 1.006e-03
Epoch: 315	Train loss: 8.009e-04	Val loss: 1.799e-03
Epoch: 316	Train loss: 7.374e-04	Val loss: 1.064e-03
Epoch: 317	Train loss: 6.833e-04	Val loss: 1.024e-03
Epoch: 318	Train loss: 8.472e-04	Val loss: 1.798e-03
Epoch: 319	Train loss: 7.832e-04	Val loss: 9.840e-04
Epoch: 320	Train loss: 6.486e-04	Val loss: 1.105e-03
Epoch: 321	Train loss: 8.018e-04	Val loss: 1.633e-03
